# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  cobre    cobre                [.] assessCosts(HighsOptions const&, int, HighsIndexCollection const&, std::vector<double, std::allocator<double> >&, bool&, double)
     0.01%  cobre    libstdc++.so.6.0.36  [.] operator new(unsigned long)
     0.01%  cobre    cobre                [.] HEkkPrimal::correctPrimal(bool)
     0.01%  cobre    cobre                [.] HEkkPrimal::getBasicPrimalInfeasibility()
     0.01%  cobre    cobre                [.] bool HighsHashTable<unsigned long, void>::insert<HighsHashTableEntry<unsigned long, void> >(HighsHashTableEntry<unsigned long, void>&&) [clone .isra.0]
     0.01%  cobre    cobre                [.] HEkkPrimal::getNonbasicFreeColumnSet()
     0.01%  cobre    cobre                [.] HSimplexNla::update(HVectorBase<double>*, HVectorBase<double>*, int*, int*)
     0.01%  cobre    cobre                [.] hashbrown::raw::RawTable<T,A>::reserve_rehash
     0.01%  cobre    cobre                [.] memset@plt
     0.01%  cobre    cobre                [.] HighsLp::objectiveValue(std::vector<double, std::allocator<double> > const&) const
     0.01%  cobre    cobre                [.] HEkkDual::updatePivots()
     0.01%  cobre    cobre                [.] HEkk::updateBadBasisChange(HVectorBase<double> const&, double)
     0.01%  cobre    cobre                [.] <parquet::column::writer::encoder::ColumnValueEncoderImpl<T> as parquet::column::writer::encoder::ColumnValueEncoder>::flush_data_page
     0.01%  cobre    libstdc++.so.6.0.36  [.] free@plt
     0.01%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     0.01%  cobre    cobre                [.] cobre_stochastic::season_cast::merge_layered_windows
     0.01%  cobre    cobre                [.] cobre_sddp::simulation::extraction::extract_stage_result_with_lookups
     0.01%  cobre    cobre                [.] nearestPowerOfTwoScale(double)
     0.01%  cobre    cobre                [.] Highs::infeasibleBoundsOk()
     0.01%  cobre    cobre                [.] HEkk::zeroBasicDuals()
     0.01%  cobre    cobre                [.] cobre_sddp::solve::stage_solve::fill_unscaled
     0.01%  cobre    cobre                [.] HEkk::reinvertOnNumericalTrouble(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double&, double, double, double)
     0.01%  cobre    libc.so.6            [.] _int_free_maybe_trim
     0.01%  cobre    libm.so.6            [.] __wrap_scalbn
     0.01%  cobre    cobre                [.] HEkkDual::updateFtranBFRT()
     0.01%  cobre    cobre                [.] getOptionIndex(HighsLogOptions const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<OptionRecord*, std::allocator<OptionRecord*> > const&, int&)
     0.01%  cobre    cobre                [.] sortSetData(int, std::vector<int, std::allocator<int> >&, double const*, double const*, double const*, double*, double*, double*)
     0.01%  cobre    cobre                [.] HEkkDual::newDevexFramework(double)
     0.01%  cobre    cobre                [.] operator delete(void*)@plt
     0.01%  cobre    cobre                [.] cobre_sddp::stochastic::noise::transform_inflow_noise
     0.01%  cobre    cobre                [.] HUF_compress1X_usingCTable_internal_bmi2
     0.01%  cobre    cobre                [.] presolve::HPresolve::changeImplColUpper(int, double, int)
     0.01%  cobre    cobre                [.] core::slice::sort::unstable::quicksort::quicksort
     0.01%  cobre    cobre                [.] std::vector<double, std::allocator<double> >::_M_fill_append(unsigned long, double const&)
     0.01%  cobre    cobre                [.] HighsLinearSumBounds::handleImplVarUpper(int, double, double, int)
     0.01%  cobre    cobre                [.] cobre_sddp::simulation::pipeline::extract_sim_stage_result
     0.01%  cobre    cobre                [.] HEkk::updateOperationResultDensity(double, double&) const
     0.01%  cobre    libm.so.6            [.] __pow_finite@plt
     0.01%  cobre    libm.so.6            [.] pow@@GLIBC_2.29
     0.01%  cobre    cobre                [.] cobre_solver::backends::highs::interface::<impl cobre_solver::trait_def::SolverInterface for cobre_solver::backends::highs::solver::HighsSolver>::solve
     0.01%  cobre    cobre                [.] void pdqsort_detail::pdqsort_loop<__gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >, std::less<std::pair<int, double> >, false>(__gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >, __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >, std::less<std::pair<int, double> >, int, bool) [clone .isra.0]
     0.01%  cobre    cobre                [.] cobre_stochastic::par::evaluate::evaluate_par_batch
     0.01%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.01%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.01%  cobre    cobre                [.] presolve::HPresolve::detectDominatedCol(presolve::HighsPostsolveStack&, int, bool)
     0.01%  cobre    libstdc++.so.6.0.36  [.] std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
     0.01%  cobre    cobre                [.] increasingSetOk(std::vector<int, std::allocator<int> > const&, int, int, bool)
     0.01%  cobre    libstdc++.so.6.0.36  [.] operator delete(void*)
     0.01%  cobre    libc.so.6            [.] _int_free_merge_chunk
     0.01%  cobre    cobre                [.] HIST_count_parallel_wksp
     0.01%  cobre    cobre                [.] cobre_solver::freeze::freeze_rows_into_template
     0.01%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     0.01%  cobre    libstdc++.so.6.0.36  [.] std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
     0.01%  cobre    cobre                [.] refineBasis(HighsLp const&, HighsSolution const&, HighsBasis&)
     0.01%  cobre    cobre                [.] HFactor::update(HVectorBase<double>*, HVectorBase<double>*, int*, int*)
     0.01%  cobre    cobre                [.] HEkk::debugSimplex(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, SimplexAlgorithm, int, bool) const
     0.01%  cobre    cobre                [.] cobre_sddp::lp::builder::patch::PatchBuffer::fill_col_state_patches
     0.01%  cobre    cobre                [.] HFactor::btranCall(HVectorBase<double>&, double, HighsTimerClock*) const
     0.01%  cobre    cobre                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)@plt
     0.01%  cobre    cobre                [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*)
     0.01%  cobre    libm.so.6            [.] __scalbn
     0.01%  cobre    cobre                [.] calculateRowValuesQuad(HighsLp const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, int)
     0.01%  cobre    cobre                [.] presolve::HPresolve::okFromCSC(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
     0.01%  cobre    cobre                [.] HEkk::bailout()
     0.01%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumLowerOrig(int, int, double, int, double, double) const
     0.01%  cobre    cobre                [.] ZSTD_encodeSequences_bmi2
     0.01%  cobre    cobre                [.] HSimplexNla::debugCheckInvert(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int) const
     0.01%  cobre    cobre                [.] presolve::HPresolve::computeLocks(int, bool, std::function<bool (int, bool)>) const
     0.01%  cobre    cobre                [.] <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     0.01%  cobre    cobre                [.] HEkkDualRHS::updatePivots(int, double)
     0.01%  cobre    cobre                [.] core::iter::adapters::flatten::and_then_or_clear
     0.01%  cobre    cobre                [.] HEkk::pivotColumnFtran(int, HVectorBase<double>&)
     0.01%  cobre    libc.so.6            [.] __strlen_avx2
     0.01%  cobre    cobre                [.] HSimplexNla::ftran(HVectorBase<double>&, double, HighsTimerClock*) const
     0.01%  cobre    cobre                [.] cobre_sddp::simulation::extraction::HydroStageContext::new
     0.01%  cobre    cobre                [.] maxHeapsort(int*, int*, int)
     0.01%  cobre    cobre                [.] HUF_buildCTable_wksp
     0.01%  cobre    cobre                [.] cobre_highs_set_basis_non_alien
     0.01%  cobre    cobre                [.] changeBounds(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, HighsIndexCollection const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&)
     0.01%  cobre    cobre                [.] presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)
     0.01%  cobre    cobre                [.] HFactor::build(HighsTimerClock*)
     0.01%  cobre    cobre                [.] alloc::vec::in_place_collect::from_iter_in_place
     0.01%  cobre    cobre                [.] HSimplexNla::applyBasisMatrixRowScale(HVectorBase<double>&) const
     0.01%  cobre    cobre                [.] presolve::HPresolve::yieldsImpliedLowerBound(int, double) const
     0.01%  cobre    cobre                [.] parquet::arrow::arrow_writer::levels::LevelInfoBuilder::write
     0.01%  cobre    cobre                [.] presolve::HPresolve::isRedundant(int) const
     0.00%  cobre    cobre                [.] cobre_sddp::setup::template_postprocess::postprocess_templates
     0.00%  cobre    libstdc++.so.6.0.36  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
     0.00%  cobre    cobre                [.] std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_emplace_unique<int&>(int&) [clone .isra.0]
     0.00%  cobre    cobre                [.] cobre_stochastic::par::fitting::correlation::compute_pearson_correlation_matrix
     0.00%  cobre    cobre                [.] presolve::HPresolve::dualFixing(presolve::HighsPostsolveStack&, int)
     0.00%  cobre    cobre                [.] HEkk::initialiseBound(SimplexAlgorithm, int, bool)
     0.00%  cobre    cobre                [.] alloc::vec::in_place_collect::from_iter_in_place
     0.00%  cobre    cobre                [.] isBasisConsistent(HighsLp const&, HighsBasis const&)
